name,genre,cleanGenre,kmeans_label
The Pretender,"alt-rock, alternative, grunge, metal",alt-rock,1
Deacon Blues,psych-rock,psych-rock,2
Hope Leaves,death-metal,death-metal,0
You Know You're Right,grunge,grunge,2
Love Story,pop,pop,2
Pennyroyal Tea,grunge,grunge,2
Best Guitar Picker,honky-tonk,honky-tonk,2
Hello,"british, soul",british,2
Eversleeping,"goth, opera",goth,2
Merry Christmas Darling,"rock, rock, rock, rock, rock",rock,0
Stay with Me,psych-rock,psych-rock,1
Discipline,industrial,industrial,2
Wish You Were Here,"grunge, metal",metal,2
The Good Life,power-pop,power-pop,2
Comfortably Numb,rock,rock,2
Dead Man's Party,"synth-pop, synth-pop, synth-pop, synth-pop, synth-pop",synth-pop,0
Fool for Your Loving,"blues, blues, british, british, hard-rock, hard-rock, metal, metal",british,2
I Started A Joke,disco,disco,2
Vanilla Twilight,indie-pop,indie-pop,2
Calendar Girl,rockabilly,rockabilly,0
(I'm) Going Home,honky-tonk,honky-tonk,2
It Lives,death-metal,death-metal,0
Highway Don't Care,country,country,1
Move Away,synth-pop,synth-pop,2
Drift Away,country,country,2
Lay Down Beside Me,bluegrass,bluegrass,2
Take A Chance On Me,swedish,swedish,1
Baby It's Cold Outside,"blues, blues, jazz, jazz",jazz,2
I Will Survive,disco,disco,2
Sunrise,"j-pop, jazz",j-pop,2
All I Ask,"british, soul",british,2
As Long As I Live,honky-tonk,honky-tonk,2
Dumb,grunge,grunge,2
Leave Out All The Rest,grunge,grunge,2
Can't Stop Lovin' You,"hard-rock, metal",hard-rock,1
Payphone,pop,pop,1
Free Bird,"blues, hard-rock",blues,2
Check My Brain,grunge,grunge,0
Sometimes I Feel Like Screaming,psych-rock,psych-rock,2
Love Hurts,grunge,grunge,2
Amazing,hard-rock,hard-rock,2
Love Runs Out,piano,piano,2
Eden,trip-hop,trip-hop,2
Dirty Work,psych-rock,psych-rock,1
I Don't Care,emo,emo,2
Maybellene,rockabilly,rockabilly,2
Goodbye Milky Way,new-age,new-age,0
Wuthering Heights,piano,piano,2
About A Girl,"alt-rock, alternative, grunge",alt-rock,2
No Good Deed,show-tunes,show-tunes,2
Memories,goth,goth,2
Heart Attack,latin,latin,1
Love Yourself,pop,pop,1
Wish,industrial,industrial,2
Sober,metal,metal,2
Merry Christmas Baby,"blues, blues, blues, blues, blues, blues, soul, soul, soul, soul, soul, soul",soul,2
Take Me I'm Yours,"power-pop, synth-pop",power-pop,0
Hot Stuff,disco,disco,0
The Longest Time,piano,piano,2
You Know How We Do It,funk,funk,1
Voodoo Child (Slight Return),"blues, hard-rock, metal, psych-rock",blues,2
Mamma Mia,swedish,swedish,2
"Hey, Soul Sister",rock,rock,1
Gimme All Your Lovin',"blues, hard-rock",blues,1
Crazy,hard-rock,hard-rock,1
"Tonight, Not Again",acoustic,acoustic,2
Cloudbusting,piano,piano,2
Feel Again,piano,piano,2
Mr. Moustache,grunge,grunge,2
Don't Go Breaking My Heart,piano,piano,2
I Believe,opera,opera,0
Bad Medicine,metal,metal,2
I Kissed A Girl,dance,dance,2
Girls Chase Boys,acoustic,acoustic,2
Keep Breathing,acoustic,acoustic,2
