name,genre,cleanGenre,kmeans_label
Lay Down Sally,blues,blues,1
E.T.,"dance, dance",dance,1
Everybody's Fool,metal,metal,1
Somebody's Me,latin,latin,1
You Broke Your Own Heart,honky-tonk,honky-tonk,1
Lullaby,"grunge, metal",metal,1
Why Don't You Love Me,honky-tonk,honky-tonk,1
One of My Turns,psych-rock,psych-rock,1
Say (All I Need),piano,piano,1
Are You Lonesome Tonight?,"rock-n-roll, rockabilly",rock-n-roll,1
Hey Jude,"british, psych-rock",british,1
How Deep Is Your Love,disco,disco,1
Who Needs Shelter,acoustic,acoustic,1
Oh! Carol,rockabilly,rockabilly,1
The Philosopher,death-metal,death-metal,1
Big Yellow Taxi,"alt-rock, alternative, rock",alt-rock,1
Welcome To The Jungle,hard-rock,hard-rock,1
Crazy Heart,honky-tonk,honky-tonk,1
When You Were Young,alt-rock,alt-rock,3
Love Is a Stranger,synth-pop,synth-pop,1
Jigsaw Falling Into Place,alt-rock,alt-rock,1
Escape,latin,latin,1
Dark Horse,dance,dance,1
Holly Jolly Christmas,"country, country",country,1
The Only One,disco,disco,1
Last Night on Earth,punk,punk,1
Drain You,grunge,grunge,1
Somersault,trip-hop,trip-hop,1
Love Me Like You Do,"dance, edm, electro, indie-pop, indie, pop",edm,1
What Are You Waiting For?,grunge,grunge,1
Open Arms,hard-rock,hard-rock,1
I Will Be Here For You,world-music,world-music,1
Rumour Has It,"british, soul",british,4
Any Major Dude Will Tell You,psych-rock,psych-rock,1
Bella Luna,"acoustic, rock",acoustic,1
Like We Never Loved at All,country,country,1
Blackout,grunge,grunge,1
Love Will Keep Us Alive,"country, folk, singer-songwriter, songwriter",folk,1
Cry Baby,psych-rock,psych-rock,1
9 to 5,country,country,1
Pressure,piano,piano,1
Sail Away,blues,blues,1
Rikki Don't Lose That Number,psych-rock,psych-rock,1
Eclipse,psych-rock,psych-rock,1
Poles Apart,psych-rock,psych-rock,1
Rolling in the Deep,"british, soul",british,1
Deep Dark Truthful Mirror,power-pop,power-pop,1
Child in Time,psych-rock,psych-rock,1
There'll Be No Teardrops Tonight,honky-tonk,honky-tonk,1
Nude,alt-rock,alt-rock,1
Do You Really Want To Hurt Me,synth-pop,synth-pop,1
2 Wicky,trip-hop,trip-hop,1
"Cold, Cold Heart",honky-tonk,honky-tonk,1
Right Where It Belongs,industrial,industrial,1
Don't Fall In Love With A Dreamer,"country, country, country, country",country,1
In These Arms,metal,metal,1
Too Official,grunge,grunge,1
Rock And Roll All Nite,hard-rock,hard-rock,1
